name,allowRewiring,allowedVessels,buy.name,buy.date,buy.time,buy.windowSize,buy.duration,buy.min,buy.max,buy.optional,buy.price,buy.cargoCV,buy.arriveCold,buy.DES,buy.contract,buy.port,buy.kind,sell.name,sell.date,sell.time,sell.windowSize,sell.duration,sell.min,sell.max,sell.optional,sell.price,sell.FOB,sell.contract,sell.port,sell.kind,kind
Cargo 6,,,Cargo 6,2010-12-28,,,,,,false,,,,false,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 6,2011-01-08,,,,,,false,,false,Sell 10,Montoir,DischargeSlot,Cargo
Cargo 7,,,Cargo 7,2010-12-29,,,,,,false,,,,false,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 7,2011-01-12,,,,,,false,,false,Sell 10,Huelva,DischargeSlot,Cargo
Cargo 11,,,Cargo 11,2011-01-06,,,,,,false,,,,false,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 11,2011-01-16,,,,,,false,,false,Sell 10,Sines,DischargeSlot,Cargo
Cargo 12,,,Cargo 12,2011-01-08,,,,,,false,,,,false,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 12,2011-01-19,,,,,,false,,false,Sell 10,Dragon LNG,DischargeSlot,Cargo
Cargo 13,,,Cargo 13,2011-01-10,,,,,,false,,,,false,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 13,2011-01-21,,,,,,false,,false,Sell 10,El Ferrol,DischargeSlot,Cargo
Cargo 18,,,Cargo 18,2011-01-14,,,,,,false,,,,false,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 18,2011-01-27,,,,,,false,,false,Sell 10,Isle of Grain,DischargeSlot,Cargo
Cargo 20,,,Cargo 20,2011-01-17,,,,,,false,,,,false,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 20,2011-01-30,,,,,,false,,false,Sell 10,Montoir,DischargeSlot,Cargo
Cargo 22,,,Cargo 22,2011-01-18,,,,,,false,,,,false,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 22,2011-01-31,,,,,,false,,false,Sell 10,Sines,DischargeSlot,Cargo
Cargo 26,,,Cargo 26,2011-01-26,,,,,,false,,,,false,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 26,2011-02-23,,,,,,false,,false,Sell 10,Incheon,DischargeSlot,Cargo
Cargo 27,,,Cargo 27,2011-01-28,,,,,,false,,,,false,Buy 5,Bonny Is,LoadSlot,discharge-Cargo 27,2011-02-25,,,,,,false,,false,Sell 10,Tongyeong,DischargeSlot,Cargo
